SS2_Donor01_CD4T_CD19-CAR_rep1	SS2_Donor01_CD4T_CD19-CAR_rep2	SS2_Donor01_CD8T_CD19-CAR_rep1	SS2_Donor01_CD8T_CD19-CAR_rep2	SS2_Donor01_CD4T_CD19-CAR-CD25_rep1	SS2_Donor01_CD4T_CD19-CAR-CD25_rep2	SS2_Donor01_CD8T_CD19-CAR-CD25_rep1	SS2_Donor01_CD8T_CD19-CAR-CD25_rep2	SS2_Donor02_CD4T_CD19-CAR_rep1	SS2_Donor02_CD4T_CD19-CAR_rep2	SS2_Donor02_CD8T_CD19-CAR_rep1	SS2_Donor02_CD8T_CD19-CAR_rep2	SS2_Donor02_CD4T_CD19-CAR-CD25_rep1	SS2_Donor02_CD4T_CD19-CAR-CD25_rep2	SS2_Donor02_CD8T_CD19-CAR-CD25_rep1	SS2_Donor02_CD8T_CD19-CAR-CD25_rep2	SS2_Donor03_CD4T_CD19-CAR_rep1	SS2_Donor03_CD4T_CD19-CAR_rep2	SS2_Donor03_CD8T_CD19-CAR_rep1	SS2_Donor03_CD8T_CD19-CAR_rep2	SS2_Donor03_CD4T_CD19-CAR-CD25_rep1	SS2_Donor03_CD4T_CD19-CAR-CD25_rep2	SS2_Donor03_CD8T_CD19-CAR-CD25_rep1	SS2_Donor03_CD8T_CD19-CAR-CD25_rep2
ABCB7	4.84489	14.9566402196128	10.5684	14.4108	33.3056	14.11402	4.030788	8.92911	24.2729	11.5937	21.1757200976415	17.1445	44.7173	19.4365	24.3934	18.75208948	11.995380100539	33.2983	20.0882	13.64916	30.1391	11.75717	10.24509	20.2195
ABCB8	14.1241	18.6637	8.96129	13.7497	10.6964	15.2667	7.97264	8.99209	23.9026	11.0818	20.8822	11.6646	7.95028	26.0845	14.3674	20.0922	30.2548	10.7818	7.61378	14.269	15.1436	32.0732	19.5469	18.6187
ABCB9	0.970696	0	0	0.890586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.20595	0	1.18003	0
ABCC1	19.2318	12.0623	6.32379	7.93471	24.5413	19.1457	10.3128	8.56433	12.4033	10.2844	11.4547	15.7373	12.0179	18.3998	19.1051	16.8598	17.5802	1.69051	7.71987	7.78704	20.6174	18.6408	12.9494	11.8265
ABCC10	28.819	23.50727	22.8915	15.0925	36.0212	22.98485	16.0453	16.7046	44.4071	22.2104	19.9336	31.92034	33.66041	18.1707	25.08173	26.7341	12.08639	11.127631211	22.5409	24.1038	29.097659776	27.9155	42.9103	23.6372
ABCC11	0	1.0905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.500436	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	1.81456	0	1.06769	2.27904	0.970219	2.34121	0.767965	2.48452	2.052	1.05536	0.893073	1.94214	0	1.00331	1.85351	1.0112	2.05229	0.811625	0	0	2.54667	0	2.11849
ABCC2	0	0.479197	1.38082	0.577739	0	0.522706	0	0	0	0	0	0	0	0	1.5326	0.502037	0	0	0	0	0	0	0.547531	0
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.490465	0	0	0	0	0.943028	0	0	0
ABCC4	6.78142	15.36901	2.37572	4.78557	16.68492	7.89823	1.58502	2.86017	4.38927	0	2.71949	5.45553	0.451536	0.848957	10.1074	8.05703	0	0	2.081447	4.22852	2.81478	3.80399	6.72062	4.84278
ABCC5	3.22667	7.41728	6.12093	5.81565	19.92937	10.48407	5.36587	6.51384	28.64849	21.69344	4.76242	7.56475	0.903071	8.41737	3.07616	6.37521	0	12.8136	3.588473	6.906275	13.269771	13.0044	6.20085	19.67967
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0.606005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69841
ABCC6P1	0	0.919083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	15.0291	10.2466	9.10408	11.8788	7.98229	12.6126	10.5195	7.06884	16.1017	17.5725	5.66503	7.53658	5.36851	5.62672	7.07848	8.76971	14.3811	9.61109	6.39092	7.25507	6.93125	8.54551	9.01428	9.43477
ABCD1	4.40852	5.36371	1.92981	0	3.45386	4.38515	3.43439	1.74323	2.72496	3.77002	0.749928	0.655707	5.13808	9.13174	0	2.10511	0	0	3.69088	0	8.10394	1.82815	0	3.20718
ABCD2	12.3208	6.78335	8.47144	7.08832	5.83466	7.39994	8.11597	5.09978	9.8157	4.07074	3.03626	3.53948	5.45009	4.7412	6.26827	8.52922	12.9409	64.809	7.05773	2.83084	0.910995	0.411599	12.9183	8.12396
ABCD3	19.27054	22.22785	5.19632	4.09622	16.39925	30.683	4.41611	14.54663	8.2889	17.92598	12.1667	17.9518	39.424108	30.6404	32.39662	20.18726	4.16105	5.00637	6.23747	6.79221	19.11842	4.32518	30.7401	4.23963
ABCD4	38.52717	42.9604	27.1313	34.990433886	48.56464	26.8144	19.089804981	29.926878	28.8701	42.4237	21.9458	31.2824	37.7018	20.5534	16.7123	33.4588	59.051	81.559148	20.3143	27.61946	33.8798	14.8986	39.348	59.0966
ABCE1	24.5916	17.4521	11.73286	11.92607	29.62111	22.836	7.45843	9.58296	20.5023	41.2249	33.8585	35.8482	35.6761	23.7765	21.6955	11.5792	2.7976	92.7251	10.68277	9.45461	9.96123	31.56679	17.72888	19.4982
ABCF1	27.39740246039	36.9957875	35.8255	43.7171	42.1306	31.7906	28.3078	26.5076437676	43.359680581	67.1974	44.557	53.3363	39.716422	56.638400303701	37.8779	53.5969395	61.5012	85.4032	23.4951000071851	18.6506353112	31.9239	35.5537	39.5659	29.7685
ABCF2	20.2837	42.3431	19.47088	11.6238	35.0138	54.135	14.3098	19.55714	35.27713	21.0468	41.1695	50.4542	43.24679	37.4561	28.1472	60.07	61.346	7.36967	20.5799	16.6005	23.91272	54.3314	37.5377224	33.69361
ABCF3	36.7274	22.4873	11.2365	28.2546	45.2133	26.6162	13.7528	17.7716	51.5602	16.4804	30.6014	34.4047	23.523	27.6301	19.7556	39.8421	23.4402	0	21.5109	13.3871	38.408	28.3808	26.7899	22.1696
ABCG1	6.40301947023	5.11311	2.450266853	2.05290906071	6.4901345582	5.57019	0	2.21401465051	2.27660785858	16.2849	8.5755257452	4.16583668222	14.7245377064	0	6.2656943292	19.26292	2.92051	0	0.7814846582	0	1.71676	6.18922	2.91939624469	0
ABCG2	8.03281	0	0.820895	1.37427	1.46957	1.79688	1.40751	0.988542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.91619
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.725124	0	0	0	0.624657	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	1.02106	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.983412	0	0	0	0	0	0	0	0
ABHD1	1.7396	1.85355	0	0	0	0	0	0	0	0	2.0683	1.80909	0	0	3.92548	1.92777	0	0	0	0	0	0	4.22652	0
ABHD10	18.7677	7.26666000992303	7.83257	6.5635800546975	21.097785	9.89342	10.457200132089	8.46973	22.38769	28.5855	18.279000304467	25.5298	20.8656	22.8224357321	26.0906	20.12475341	81.7665	25.1401	8.3284700476067	6.38735	27.5475	18.62334	15.5573	11.02537
ABHD11	41.4592	26.909801527142	18.60256	22.39498811958	36.3588	33.568268	18.690675289092	17.1863	18.8448	54.21900142763	36.7702	18.34752118042	29.8132	47.68445	28.899	34.8739295088	131.002	10.5435	11.1438	18.79179	27.03081158034	27.53838	32.274782	25.0572
ABHD12	39.591	13.2517	13.827	23.05256	46.58621	36.6068	23.0832	17.7097	13.0138	35.1786	28.2666	27.0735	9.73111	16.3802	5.11894	26.4023	0	0	14.18381	17.13527	16.9888	15.2772	34.3727	25.8396
ABHD12B	8.48891	10.8536	2.58621	0	9.23078	3.92835	6.91263	4.68092	4.86718	8.11456	4.03739	0	5.91764	9.4419	5.74775	0	0	8.30857	0	0	3.64441	4.89686	12.3752	2.14689
ABHD13	6.84952	2.27836	9.8491	4.94469	10.5822	8.45047	4.673	5.13861	1.85444	9.74168	5.6089	6.6871	5.4916	8.59917	8.7452	3.81961	33.3808	10.5326	3.76491	2.85232	5.04869	16.5892	13.0168	10.9143
ABHD14A	47.7343	83.6652	43.3143	48.6528	36.3482	76.8888	22.5297	30.523	57.7265	59.6014	87.5799	86.5066	47.5662	87.1388	68.5989	73.5655	77.5477	0	37.0289	43.4408	61.2966	43.2676	75.0728	35.9339
ABHD14A-ACY1	6.27014	0	0	0	4.75527	0	0	0	0	0	0	0	11.4906	0	12.2363	0	0	0	0	0	0	0	0	0
ABHD14B	51.4597	23.8206	27.6855655	27.80118	49.3433	36.30553	23.191251011	22.1937	12.6085	50.9677	50.1919	52.098	39.3458	37.15133	39.7777	48.55452562	60.8171	5.22679	29.1034	31.84227	50.429	66.4092	80.761	60.8536
ABHD15	13.5571	9.96385	2.51851	11.533	13.0839	11.1473	7.35945	4.8231	15.8304	7.38489	9.46057	6.78022	29.6239	11.6187	10.8207	8.93608	9.26566	0	7.58953	8.71183	11.0907	3.88545	11.9118	9.054
ABHD16A	49.465	58.6439	33.27822	44.445175	52.206	31.8543	40.0944	36.321	60.7961	101.520404	74.7461	84.0458	84.8454	57.2474	89.2326	65.50818	0	35.1762	50.4409	44.0123	85.30613	51.46729	37.3983	58.70980289
ABHD16B	4.13473	2.93623	2.10309	0	0	0	5.61916	2.53627	1.97921	0	8.19739	2.86769	0	0	4.67262	1.53002	0	0	10.7524	3.63538	0	9.29329	3.34968	1.74635
ABHD2	12.9264	25.8561	5.33661	8.10144	20.0051	21.666	6.63101753	4.62204	8.57058	18.8246	12.00064	12.1627	21.54012	10.9248	11.7728	9.44164	19.5636	38.638	5.40156	5.26356	7.64436	20.7031	11.48412	18.1645
ABHD3	40.8356	53.4321	30.3003	43.362	38.2245	50.0193	31.7404	27.9333	30.1953	62.796	70.8022	50.9909	42.0878	46.7823	64.6682	55.7519	69.4208	14.3071	33.0107	32.3877	31.2918	9.00238	80.8309	54.7723
ABHD4	10.3741	8.03406	5.76994	12.0916	20.6359	5.4673	3.85213	2.60745	4.07321	12.413	7.85769	19.6319	35.1412	8.40832	6.40717	15.7378	3.43907	50.9342	8.28503	8.74788	0	12.7516	17.1977	23.9658
ABHD5	6.7819	8.57227	2.60055	2.71995	6.98538	4.92185	2.31347	1.56552	6.1206	6.09194	8.58278	4.41407	4.61672	13.7176	5.77268	4.72747	19.1081	0	5.79876	5.64859	3.19365	5.33838	7.733	6.48411
ABHD6	0	0	1.51794	0	8.14218	4.60321	2.70258	0.914692	0	11.877	1.18148	4.13265	3.46724	5.53087	2.24755	2.20819	0	0	0.96887	0	0	0	2.41351	0
ABHD8	2.30158	7.35367	1.75817	0	0	4.00038	0	3.17922	0	4.12932	0	1.1975	0	5.12722	0	0	0	0	2.24557	0	0	0	0	0
ABI1	52.58175520033	98.23021	42.20587	39.26038	58.544	64.625002965	39.52828	35.039671	61.1488	67.8768	67.594214009	40.95669	51.1124700364968	55.20025167	57.55585372	62.35802	80.4976	44.9602	31.1598985211	38.4671392422	42.2721	64.84149	71.08740018489	44.8501818204194
ABI2	5.44705	7.14188	6.82183	4.50807	4.30626	10.5561	2.02496	4.68895	3.7862	11.4939	3.03197	7.08069	9.27966	7.25395	7.59307	10.1327	33.6104	3.62043	4.02398	1.42882	5.72726	7.11976	7.91279	8.19174
ABI3	25.067	49.83506	92.4211	99.0487	18.84365691	14.5235	85.252	96.5361	13.1079	27.2572	180.116	161.121	10.707804156	16.65470392	143.08	172.225	33.2099	72.6631	100.054	97.9293	43.18645045	36.2712	222.775	131.579
ABI3BP	0	0.543851	0	0	0	0	0	0	0	0	0	0	0	0.570019	0	0	0	0	0.499153	0	0.547792	0.494706	0	0
ABL1	4.21016	0.818641	3.22887	5.94365	9.25138	16.62175	2.87241	4.26166	4.8636	5.04248	5.01473	3.94594	0	11.2762	3.34478	6.10444	0	0	6.994	6.173119	8.57621	2.85522	3.58446	3.2203
ABL2	3.1117375	2.23732953	1.55026795	0.84029114	1.77115878	3.59313947	2.0480943	1.52285352	1.5851781	2.31296781	2.0064388	2.19160335	2.23820401	4.2913701	1.74763844	2.3175205	3.3878146	2.5133755	2.5713658	0.59041874	2.2444695	1.5505313	1.47922911	2.41771183
ABLIM1	8.0560147	8.884143	7.57733	8.609275	13.67103076808	14.744862	9.43612	10.6418	6.7213196483	10.252359	10.269827	11.480038	5.93498074653	3.5915405	10.454592	6.799723	26.4815	28.015992	8.22114260264	8.53092587222	14.0401	2.2883324415	10.31206195715	6.29823
ABLIM2	0	0.7280830365	2.44912	0	0	0.711055	0	0.8445	0	0	0	0	0	0	0.7752496997	0	0	0	0.6679058169	0	0	0	3.32632	0
ABLIM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	46.44318	22.4668	12.8081	17.3251434	27.1309	22.2194	16.65744	16.61333	29.1766	43.807340279126	32.928385	31.46947	20.947	20.67023	26.97894	26.0418	13.6772	19.8863	11.9346	15.5556	33.222	24.2666800273369	26.763	23.1456
ABRA	0	0.296038	0	1.09393	9.33988	0	2.32383	0	0	0	1.63036	0	0	0	0	0	0	0	0.869632	2.26303	5.67296	1.754	1.03716	0
ABRACL	166.466	149.177	115.628	118.974	205.465	168.682	107.694	112.522	160.746	174.493	193.52	145.177	230.983	247.059	186.46	230.651	76.0679	258.84	90.5202	90.2985	96.6137	174.33	96.9154	87.4994
ABT1	73.8412	65.1559	74.1735	43.2697	66.2996	101.481	45.9375	52.4748	71.3304	59.3112	85.3653	55.9878	46.6605	72.8663	75.211	71.5464	60.2339	59.5316	46.3236	57.2404	49.7887	49.8866	65.3953	58.9318
ABTB1	59.9826	28.6836	16.8254	25.0981	17.032700153118	10.1244000307479	22.070700375416	22.5395	35.1893	40.991100656962	25.253200552904	11.4635	14.5255000408218	39.53390516288	27.6867	18.030200561122	54.560100222623	105.05096256	16.7182	8.244900456849	27.5796	38.7523312124	20.8289	18.6312
ABTB2	0	1.48272	0.712023	0	0	2.69545	0.633452	0.428665	0	4.44852	4.42413	1.45053	0.54142	5.69915	2.63434	3.6243	0	0	0.453683	0.618487	0	0.449722	10.1647	3.55052
ACAA1	199.7553	124.86653	117.6163	78.0588	132.8686	119.1376	79.79001	77.1362	132.8019	149.8988	185.7726	231.7125	121.2354	94.2874	141.2031	150.3731	178.0472	151.275	91.8658	105.9359	213.1658	152.865	238.88503	228.0906
ACAA2	131.625	72.0999	88.0501	93.163	143.642	194.585	126.134	128.088	113.492	79.4517	128.263	138.257	115.209	73.9834	163.005	164.311	205.416	178.247	96.6008	117.54	177.531	149.844	117.31	146.246
